CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
332	M123	8	8/11/23	5.393	2000	10000	XLarge	True_Sample	Trigona	fulviventris	5	Peru	Tumbes, Zapallal	Ethanol	South_America	Neotropics
388	M023	3	1/11/23	4.618	NA	5000	Large	True_Sample	Heterotrigona	itama	1	Malaysia	Mahua 5.47/116.25, 1000m	Ethanol	Asia	Indo-Malay-Australasia
389	M019	3	1/11/23	3.565	1000	3000	Large	True_Sample	Sundatrigona	moorei	1	Malaysia	Mahua 5.47/116.25, 1000m	Ethanol	Asia	Indo-Malay-Australasia
406	M035	5	1/11/23	10.109	1000	1300	Medium	True_Sample	Meliponula	bocandei	5	Uganda	Bwindi	Ethanol	Africa	AfroTropics
406	M036	5	1/11/23	10.109	1000	1300	Medium	True_Sample	Meliponula	bocandei	5	Uganda	Bwindi	Ethanol	Africa	AfroTropics
407	M037	5	1/11/23	9.727	1000	1300	Medium	True_Sample	Meliponula	bocandei	5	Uganda	Bwindi	Ethanol	Africa	AfroTropics
407	M038	5	1/11/23	9.727	1000	1300	Medium	True_Sample	Meliponula	bocandei	5	Uganda	Bwindi	Ethanol	Africa	AfroTropics
407	M039	5	1/11/23	9.727	1000	1300	Medium	True_Sample	Meliponula	bocandei	5	Uganda	Bwindi	Ethanol	Africa	AfroTropics
426	M031	5	1/11/23	3.663	100	750	Small	True_Sample	Hypotrigona	gribodoi	5	Cameroon	Ngaoundere	Ethanol/Pinned	Africa	AfroTropics
427	M032	5	1/11/23	3.086	100	750	Small	True_Sample	Hypotrigona	gribodoi	5	Cameroon	Ngaoundere	Ethanol/Pinned	Africa	AfroTropics
430	M033	5	1/11/23	2.872	100	750	Small	True_Sample	Hypotrigona	gribodoi	5	Cameroon	Ngaoundere	Ethanol/Pinned	Africa	AfroTropics
430	M034	5	1/11/23	2.872	100	750	Small	True_Sample	Hypotrigona	gribodoi	5	Cameroon	Ngaoundere	Ethanol/Pinned	Africa	AfroTropics
432	M030	5	1/11/23	4.081	100	750	Small	True_Sample	Hypotrigona	gribodoi	2	South Africa	Limpopo, Waterpoort	Ethanol/Pinned	Africa	AfroTropics
445	M062	6	6/11/23	3.566	300	2500	Medium	True_Sample	Friesella	schrottkyi	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
445	M063	6	6/11/23	3.566	300	2500	Medium	True_Sample	Friesella	schrottkyi	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
447	M091	6	6/11/23	6.014	5000	180000	Enormous	True_Sample	Trigona	spinipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
