SampleID	CollectionID	Bee_Genus	Bee_Species	Box	PrepDate	BodySize_IT_uM	ColonySize_L	ColonySize_U	ColonySize
M157	135		weyrauchi	14	08/11/2023	4.725	2000	3000	Large 
M153	136	Tetragonisca	weyrauchi	14	08/11/2023	4.268	2000	3000	Large 
M154	136	Tetragonisca	weyrauchi	14	08/11/2023	4.268	2000	3000	Large 
M155	136	Tetragonisca	weyrauchi	14	08/11/2023	4.268	2000	3000	Large 
M156	136	Tetragonisca	weyrauchi	14	08/11/2023	4.268	2000	3000	Large 
M185	632	Nogueirapis	mirandula	16	08/11/2023	4.349	2281	4076	Large 
M102	172	Trigona	hypogea	7	06/11/2023	4.14	1200	5000	Large 
M103	172	Trigona	hypogea	7	06/11/2023	4.14	1200	5000	Large 
M104	172	Trigona	hypogea	7	06/11/2023	4.14	1200	5000	Large 
M105	172	Trigona	hypogea	7	06/11/2023	4.14	1200	5000	Large 
M106	172	Trigona	hypogea	7	06/11/2023	4.14	1200	5000	Large 
M020	491	Heterotrigona	itama	3	01/11/2023	5.44		5000	Large 
M021	311	Heterotrigona	itama	3	01/11/2023	5.153		5000	Large 
M022	311	Heterotrigona	itama	3	01/11/2023	5.153		5000	Large 
M024	505	Heterotrigona	itama	3	01/11/2023	4.992		5000	Large 
M023	388	Heterotrigona	itama	3	01/11/2023	4.618		5000	Large 
M004	268	Tetragonula	laeviceps	2	30/10/2023	4.78	1000	5000	Large 
M005	329	Tetragonula	laeviceps	2	30/10/2023	4.57	1000	5000	Large 
M002	258	Tetragonula	laeviceps	2	30/10/2023	4.475	1000	5000	Large 
M001	481	Tetragonula	laeviceps	2	30/10/2023	4.244	1000	5000	Large 
M003	262	Tetragonula	laeviceps	2	30/10/2023	4.238	1000	5000	Large 
M007	226	Tetragonula	mellipes	2	30/10/2023	3.919	1000	5000	Large 
M009	226	Tetragonula	mellipes	2	30/10/2023	3.919	1000	5000	Large 
M006	226	Tetragonula	mellipes	2	30/10/2023	3.842	1000	5000	Large 
M008	226	Tetragonula	mellipes	2	30/10/2023	3.842	1000	5000	Large 
M010	226	Tetragonula	mellipes	2	30/10/2023	3.842	1000	5000	Large 
M138	162	Scaptotrigona	pectoralis	11	08/11/2023	5.738	2000	5201	Large 
M139	162	Scaptotrigona	pectoralis	11	08/11/2023	5.738	2000	5201	Large 
M140	297	Scaptotrigona	pectoralis	11	08/11/2023	5.404	2000	5201	Large 
M141	297	Scaptotrigona	pectoralis	11	08/11/2023	5.404	2000	5201	Large 
M142	297	Scaptotrigona	pectoralis	11	08/11/2023	5.404	2000	5201	Large 
M175	114	Oxytrigona	mellicolor	15	08/11/2023	4.957		5442	Large 
M176	114	Oxytrigona	mellicolor	15	08/11/2023	4.957		5442	Large 
M178	114	Oxytrigona	mellicolor	15	08/11/2023	4.957		5442	Large 
M179	114	Oxytrigona	mellicolor	15	08/11/2023	4.957		5442	Large 
M177	114	Oxytrigona	mellicolor	15	08/11/2023	4.957		5442	Large 
M011	229	Tetragonula	hockingsi	2	01/11/2023	4.026	3000	7000	Large 
M012	229	Tetragonula	hockingsi	2	01/11/2023	4.026	3000	7000	Large 
M013	229	Tetragonula	hockingsi	2	01/11/2023	4.026	3000	7000	Large 
M014	229	Tetragonula	hockingsi	2	01/11/2023	4.026	3000	7000	Large 
