sample	CollectionID	Genus	Species	Box	PrepDate	BodySize(IT)uM	ColonySize(L)	ColonySize(U)	ColonySize	Sample_or_Control 
M120	182	Trigona	fulviventris	8	8/11/23	5.947	2000	10000	XLarge	True_Sample
M121	180	Trigona	fulviventris	8	8/11/23	5.456	2000	10000	XLarge	True_Sample
M123	332	Trigona	fulviventris	8	8/11/23	5.393	2000	10000	XLarge	True_Sample
M119	181	Trigona	fulviventris	8	8/11/23	4.992	2000	10000	XLarge	True_Sample
M122	183	Trigona	fulviventris	8	8/11/23	4.877	2000	10000	XLarge	True_Sample
M107	213	Trigona	fuscipennis	7	8/11/23	5.32	1200	10000	XLarge	True_Sample
M082	458	Trigona	fuscipennis	6	6/11/23	5.238	1200	10000	XLarge	True_Sample
M083	458	Trigona	fuscipennis	6	6/11/23	5.238	1200	10000	XLarge	True_Sample
M084	458	Trigona	fuscipennis	6	6/11/23	5.238	1200	10000	XLarge	True_Sample
M085	458	Trigona	fuscipennis	6	6/11/23	5.238	1200	10000	XLarge	True_Sample
M161	331	Duckeola	ghilianii	14	8/11/23	8.595		10000	XLarge	True_Sample
M143	165	Scaptotrigona	postica	11	8/11/23	6.128	6000	10000	XLarge	True_Sample
M144	165	Scaptotrigona	postica	11	8/11/23	6.128	6000	10000	XLarge	True_Sample
M145	165	Scaptotrigona	postica	11	8/11/23	6.128	6000	10000	XLarge	True_Sample
M146	165	Scaptotrigona	postica	11	8/11/23	6.128	6000	10000	XLarge	True_Sample
M147	165	Scaptotrigona	postica	11	8/11/23	6.128	6000	10000	XLarge	True_Sample
M016	228	Tetragonula	carbonaria	2	1/11/23	4.212	2500	11000	XLarge	True_Sample
M017	228	Tetragonula	carbonaria	2	1/11/23	4.212	2500	11000	XLarge	True_Sample
M018	228	Tetragonula	carbonaria	2	1/11/23	4.212	2500	11000	XLarge	True_Sample
M187	628	Trigona	silvestriana	16	8/11/23	9.585	9000	12000	XLarge	True_Sample
M186	629	Trigona	silvestriana	16	8/11/23	9.281	9000	12000	XLarge	True_Sample
M109	186	Trigona	silvestriana	7	8/11/23	7.078	9000	12000	XLarge	True_Sample
M110	184	Trigona	silvestriana	7	8/11/23	6.686	9000	12000	XLarge	True_Sample
M108	188	Trigona	silvestriana	7	8/11/23	5.904	9000	12000	XLarge	True_Sample
M112	219	Trigona	corvina	7	8/11/23	5.462	7000	25000	XLarge	True_Sample
M111	216	Trigona	corvina	7	8/11/23	5.411	7000	25000	XLarge	True_Sample
M086	468	Tetragona	clavipes	6	6/11/23	6.152	5383	29000	XLarge	True_Sample
M087	452	Tetragona	clavipes	6	6/11/23	6.152	5383	29000	XLarge	True_Sample
M163	84	Tetragona	clavipes	14	8/11/23	6.106	5383	29000	XLarge	True_Sample
M162	1	Tetragona	clavipes	14	8/11/23	5.67	5383	29000	XLarge	True_Sample
