SampleID;Mean_Conc
M062;0,5617
M062;0,5617
M062;0,5617
M063;2844,1229
M063;2844,1229
M063;2844,1229
M064;0,6962
M064;0,6962
M064;0,6962
M065;2,2701
M065;2,2701
M065;2,2701
M066;1,2862
M066;1,2862
M066;1,2862
M067;0,2896
M067;0,2896
M067;0,2896
M068;0,1979
M068;0,1979
M068;0,1979
M069;0,1717
M069;0,1717
M069;0,1717
M070;1531,3838
M070;1531,3838
M070;1531,3838
M071;2493,957
M071;2493,957
M071;2493,957
M072;11,5387
M072;11,5387
M072;11,5387
M073;0,0651
M073;0,0651
M073;0,0651
M074;0,1537
M074;0,1537
M074;0,1537
M075;3927,5783
M075;3927,5783
M075;3927,5783
M076;18741,6855
M076;18741,6855
M076;18741,6855
M077;35,8088
M077;35,8088
M077;35,8088
M078;6236,6704
M078;6236,6704
M078;6236,6704
M079;543,0016
M079;543,0016
M079;543,0016
M080;4265,5903
M080;4265,5903
M080;4265,5903
M081;11132,4927
M081;11132,4927
M081;11132,4927
M082;102169,8232
M082;102169,8232
M082;102169,8232
M083;5,148
M083;5,148
M083;5,148
M084;0,2616
M084;0,2616
M084;0,2616
M085;8223,7308
M085;8223,7308
M085;8223,7308
M086;80308,4616
M086;80308,4616
M086;80308,4616
M087;28431,7489
M087;28431,7489
M087;28431,7489
M088;24411,1899
M088;24411,1899
M088;24411,1899
M089;63074,6953
M089;63074,6953
M089;63074,6953
M090;14493,8346
M090;14493,8346
M090;14493,8346
M091;657,9185
M091;657,9185
M091;657,9185
M092;13428,9817
M092;13428,9817
M092;13428,9817
M093;167429,3806
M093;167429,3806
M093;167429,3806
M094;12969,6065
M094;12969,6065
M094;12969,6065
M095;45795,5936
M095;45795,5936
M095;45795,5936
M096;20449,167
M096;20449,167
M096;20449,167
M097;861435,2229
M097;861435,2229
M097;861435,2229
M098;274418,3578
M098;274418,3578
M098;274418,3578
M099;3254,7747
M099;3254,7747
M099;3254,7747
M100;65578,5589
M100;65578,5589
M100;65578,5589
M101;117740,2827
M101;117740,2827
M101;117740,2827
M102;8,8129
M102;8,8129
M102;8,8129
M103;852,9277
M103;852,9277
M103;852,9277
M104;23,8587
M104;23,8587
M104;23,8587
M105;18,8386
M105;18,8386
M105;18,8386
M106;164,6201
M106;164,6201
M106;164,6201
M107;780273,5805
M107;780273,5805
M107;780273,5805
M108;143771,5421
M108;143771,5421
M108;143771,5421
M109;129475,5637
M109;129475,5637
M109;129475,5637
M110;75147,5075
M110;75147,5075
M110;75147,5075
M111;5304,1047
M111;5304,1047
M111;5304,1047
M112;116179,2195
M112;116179,2195
M112;116179,2195
M113;49018,4736
M113;49018,4736
M113;49018,4736
